gridx	gridy	x	y
9481	19457	948100	1945700
9634	19541	963400	1954100
9638	19550	963800	1955000
9628	19585	962800	1958500
9605	19581	960500	1958100
9618	19621	961800	1962100
9569	19570	956900	1957000
9564	19566	956400	1956600
9679	19482	967900	1948200
9679	19483	967900	1948300
9537	19523	953700	1952300
9538	19523	953800	1952300
9538	19524	953800	1952400
9537	19524	953700	1952400
9537	19525	953700	1952500
9537	19527	953700	1952700
9537	19526	953700	1952600
9536	19526	953600	1952600
9536	19527	953600	1952700
9538	19526	953800	1952600
9538	19527	953800	1952700
9539	19527	953900	1952700
9539	19526	953900	1952600
9538	19528	953800	1952800
9539	19528	953900	1952800
9536	19530	953600	1953000
9536	19529	953600	1952900
9538	19525	953800	1952500
9536	19528	953600	1952800
9537	19528	953700	1952800
9547	19522	954700	1952200
9547	19523	954700	1952300
9548	19523	954800	1952300
9548	19522	954800	1952200
9533	19524	953300	1952400
9534	19524	953400	1952400
9534	19525	953400	1952500
9535	19524	953500	1952400
9535	19523	953500	1952300
9534	19523	953400	1952300
9483	19519	948300	1951900
9571	19594	957100	1959400
9675	19480	967500	1948000
9645	19549	964500	1954900
9443	19487	944300	1948700
9410	19481	941000	1948100
9409	19481	940900	1948100
9446	19468	944600	1946800
9474	19518	947400	1951800
9475	19518	947500	1951800
9518	19499	951800	1949900
9531	19533	953100	1953300
9531	19534	953100	1953400
9530	19533	953000	1953300
9530	19534	953000	1953400
9559	19524	955900	1952400
9560	19524	956000	1952400
9531	19523	953100	1952300
9560	19523	956000	1952300
9540	19523	954000	1952300
9539	19523	953900	1952300
9578	19530	957800	1953000
9690	19446	969000	1944600
9690	19445	969000	1944500
9578	19531	957800	1953100
9531	19525	953100	1952500
9530	19525	953000	1952500
9531	19524	953100	1952400
9530	19526	953000	1952600
9529	19525	952900	1952500
9530	19524	953000	1952400
9529	19526	952900	1952600
9532	19522	953200	1952200
9532	19523	953200	1952300
9532	19524	953200	1952400
9530	19535	953000	1953500
9531	19535	953100	1953500
9578	19532	957800	1953200
9532	19525	953200	1952500
9533	19523	953300	1952300
9530	19536	953000	1953600
9491	19537	949100	1953700
9547	19524	954700	1952400
9632	19489	963200	1948900
9628	19506	962800	1950600
9632	19512	963200	1951200
9546	19524	954600	1952400
9529	19520	952900	1952000
9529	19521	952900	1952100
9547	19525	954700	1952500
9547	19526	954700	1952600
9638	19537	963800	1953700
9623	19551	962300	1955100
9622	19551	962200	1955100
9530	19521	953000	1952100
9529	19522	952900	1952200
9548	19526	954800	1952600
9548	19527	954800	1952700
9547	19527	954700	1952700
9547	19528	954700	1952800
9548	19528	954800	1952800
9530	19537	953000	1953700
9530	19538	953000	1953800
9529	19537	952900	1953700
9529	19538	952900	1953800
9546	19528	954600	1952800
9529	19539	952900	1953900
9530	19522	953000	1952200
9529	19523	952900	1952300
9530	19523	953000	1952300
9548	19529	954800	1952900
9547	19529	954700	1952900
9529	19540	952900	1954000
9530	19539	953000	1953900
9530	19540	953000	1954000
9614	19546	961400	1954600
9530	19541	953000	1954100
9531	19541	953100	1954100
9531	19540	953100	1954000
9531	19539	953100	1953900
9616	19454	961600	1945400
9528	19522	952800	1952200
9531	19522	953100	1952200
9546	19529	954600	1952900
9546	19530	954600	1953000
9545	19530	954500	1953000
9545	19529	954500	1952900
9627	19515	962700	1951500
9547	19530	954700	1953000
9547	19531	954700	1953100
9548	19530	954800	1953000
9548	19531	954800	1953100
9532	19539	953200	1953900
9523	19527	952300	1952700
9522	19527	952200	1952700
9545	19531	954500	1953100
9546	19531	954600	1953100
9527	19521	952700	1952100
9528	19521	952800	1952100
9527	19522	952700	1952200
9521	19529	952100	1952900
9521	19530	952100	1953000
9522	19528	952200	1952800
9522	19529	952200	1952900
9522	19530	952200	1953000
9523	19529	952300	1952900
9524	19530	952400	1953000
9526	19522	952600	1952200
9523	19530	952300	1953000
9523	19531	952300	1953100
9524	19529	952400	1952900
9524	19531	952400	1953100
9525	19532	952500	1953200
9524	19532	952400	1953200
9520	19530	952000	1953000
9531	19531	953100	1953100
9531	19532	953100	1953200
9586	19574	958600	1957400
9520	19531	952000	1953100
9519	19531	951900	1953100
9528	19519	952800	1951900
9559	19523	955900	1952300
9409	19493	940900	1949300
9630	19524	963000	1952400
9479	19499	947900	1949900
9645	19408	964500	1940800
9630	19483	963000	1948300
9630	19482	963000	1948200
9489	19514	948900	1951400
9489	19513	948900	1951300
9545	19437	954500	1943700
9621	19502	962100	1950200
9619	19528	961900	1952800
9478	19447	947800	1944700
9467	19531	946700	1953100
9472	19434	947200	1943400
9472	19435	947200	1943500
9625	19514	962500	1951400
9626	19514	962600	1951400
9478	19564	947800	1956400
9606	19568	960600	1956800
9606	19569	960600	1956900
9550	19492	955000	1949200
9485	19414	948500	1941400
9632	19531	963200	1953100
9529	19510	952900	1951000
9473	19389	947300	1938900
9676	19454	967600	1945400
9660	19457	966000	1945700
9667	19458	966700	1945800
9692	19449	969200	1944900
9693	19449	969300	1944900
9507	19512	950700	1951200
