gridx	gridy	x	y
3792	7782	948000	1945500
3853	7816	963250	1954000
3855	7820	963750	1955000
3851	7834	962750	1958500
3842	7832	960500	1958000
3847	7848	961750	1962000
3827	7828	956750	1957000
3825	7826	956250	1956500
3871	7793	967750	1948250
3815	7809	953750	1952250
3814	7809	953500	1952250
3815	7810	953750	1952500
3814	7810	953500	1952500
3815	7811	953750	1952750
3814	7812	953500	1953000
3814	7811	953500	1952750
3819	7809	954750	1952250
3818	7809	954500	1952250
3813	7809	953250	1952250
3813	7810	953250	1952500
3793	7807	948250	1951750
3828	7837	957000	1959250
3870	7792	967500	1948000
3858	7819	964500	1954750
3777	7794	944250	1948500
3764	7792	941000	1948000
3763	7792	940750	1948000
3778	7787	944500	1946750
3789	7807	947250	1951750
3790	7807	947500	1951750
3807	7799	951750	1949750
3812	7813	953000	1953250
3823	7809	955750	1952250
3824	7809	956000	1952250
3812	7809	953000	1952250
3816	7809	954000	1952250
3831	7812	957750	1953000
3876	7778	969000	1944500
3812	7810	953000	1952500
3811	7810	952750	1952500
3812	7814	953000	1953500
3796	7814	949000	1953500
3852	7795	963000	1948750
3851	7802	962750	1950500
3853	7804	963250	1951000
3831	7813	957750	1953250
3811	7808	952750	1952000
3818	7810	954500	1952500
3819	7810	954750	1952500
3855	7815	963750	1953750
3855	7814	963750	1953500
3849	7820	962250	1955000
3812	7808	953000	1952000
3811	7809	952750	1952250
3819	7811	954750	1952750
3818	7811	954500	1952750
3812	7815	953000	1953750
3811	7815	952750	1953750
3811	7816	952750	1954000
3812	7816	953000	1954000
3845	7818	961250	1954500
3846	7781	961500	1945250
3818	7812	954500	1953000
3850	7806	962500	1951500
3819	7812	954750	1953000
3809	7810	952250	1952500
3809	7811	952250	1952750
3810	7808	952500	1952000
3808	7811	952000	1952750
3808	7812	952000	1953000
3809	7812	952250	1953000
3810	7809	952500	1952250
3810	7812	952500	1953000
3812	7812	953000	1953000
3834	7829	958500	1957250
3807	7812	951750	1953000
3811	7807	952750	1951750
3763	7797	940750	1949250
3852	7809	963000	1952250
3791	7799	947750	1949750
3858	7763	964500	1940750
3852	7793	963000	1948250
3795	7805	948750	1951250
3818	7775	954500	1943750
3848	7800	962000	1950000
3848	7801	962000	1950250
3847	7811	961750	1952750
3791	7779	947750	1944750
3787	7812	946750	1953000
3788	7773	947000	1943250
3788	7774	947000	1943500
3850	7805	962500	1951250
3791	7825	947750	1956250
3842	7827	960500	1956750
3820	7797	955000	1949250
3794	7765	948500	1941250
3853	7812	963250	1953000
3811	7804	952750	1951000
3789	7755	947250	1938750
3870	7781	967500	1945250
3864	7782	966000	1945500
3864	7783	966000	1945750
3866	7783	966500	1945750
3877	7779	969250	1944750
3803	7804	950750	1951000
3858	7797	964500	1949250
3858	7796	964500	1949000
3859	7796	964750	1949000
3859	7797	964750	1949250
3849	7821	962250	1955250
3787	7785	946750	1946250
3787	7784	946750	1946000
3795	7783	948750	1945750
3874	7797	968500	1949250
3873	7793	968250	1948250
3874	7794	968500	1948500
3871	7803	967750	1950750
3871	7798	967750	1949500
3857	7774	964250	1943500
3790	7806	947500	1951500
3793	7806	948250	1951500
3787	7773	946750	1943250
3832	7787	958000	1946750
3839	7789	959750	1947250
3822	7810	955500	1952500
3823	7810	955750	1952500
3822	7811	955500	1952750
3822	7812	955500	1953000
3821	7814	955250	1953500
3822	7814	955500	1953500
3821	7813	955250	1953250
3822	7813	955500	1953250
3821	7815	955250	1953750
3809	7823	952250	1955750
3809	7824	952250	1956000
3819	7808	954750	1952000
3829	7813	957250	1953250
3828	7813	957000	1953250
3828	7810	957000	1952500
3828	7814	957000	1953500
3822	7809	955500	1952250
3828	7809	957000	1952250
3829	7809	957250	1952250
3829	7810	957250	1952500
3828	7811	957000	1952750
3829	7811	957250	1952750
3828	7812	957000	1953000
3829	7812	957250	1953000
3808	7822	952000	1955500
3807	7822	951750	1955500
3807	7823	951750	1955750
3822	7794	955500	1948500
3821	7794	955250	1948500
3808	7823	952000	1955750
3810	7823	952500	1955750
3828	7843	957000	1960750
3839	7854	959750	1963500
3828	7825	957000	1956250
3824	7811	956000	1952750
3823	7811	955750	1952750
3825	7811	956250	1952750
3824	7810	956000	1952500
3821	7812	955250	1953000
3822	7815	955500	1953750
3823	7815	955750	1953750
3823	7814	955750	1953500
3824	7812	956000	1953000
3823	7812	955750	1953000
3823	7816	955750	1954000
3824	7813	956000	1953250
3823	7813	955750	1953250
3822	7816	955500	1954000
3832	7841	958000	1960250
3824	7816	956000	1954000
3824	7817	956000	1954250
3824	7814	956000	1953500
3825	7816	956250	1954000
3825	7815	956250	1953750
3789	7775	947250	1943750
3784	7769	946000	1942250
3807	7800	951750	1950000
3787	7805	946750	1951250
3856	7803	964000	1950750
3842	7779	960500	1944750
3788	7802	947000	1950500
3854	7792	963500	1948000
3840	7828	960000	1957000
3820	7777	955000	1944250
3765	7777	941250	1944250
3765	7776	941250	1944000
3766	7777	941500	1944250
3766	7776	941500	1944000
3785	7789	946250	1947250
3852	7853	963000	1963250
3764	7804	941000	1951000
3792	7786	948000	1946500
3854	7806	963500	1951500
3853	7806	963250	1951500
3770	7776	942500	1944000
3781	7778	945250	1944500
3769	7781	942250	1945250
3769	7792	942250	1948000
3766	7797	941500	1949250
3765	7800	941250	1950000
3765	7802	941250	1950500
3766	7804	941500	1951000
3765	7803	941250	1950750
3756	7806	939000	1951500
3766	7794	941500	1948500
3790	7821	947500	1955250
3790	7820	947500	1955000
3764	7774	941000	1943500
3854	7801	963500	1950250
3853	7794	963250	1948500
3831	7815	957750	1953750
3832	7814	958000	1953500
3884	7798	971000	1949500
3848	7798	962000	1949500
3850	7825	962500	1956250
3854	7820	963500	1955000
3810	7795	952500	1948750
3783	7765	945750	1941250
3866	7793	966500	1948250
3864	7772	966000	1943000
3789	7757	947250	1939250
3822	7772	955500	1943000
3848	7802	962000	1950500
3846	7793	961500	1948250
3820	7811	955000	1952750
3820	7812	955000	1953000
3817	7817	954250	1954250
3818	7817	954500	1954250
3817	7810	954250	1952500
3816	7812	954000	1953000
3817	7818	954250	1954500
3816	7813	954000	1953250
3820	7809	955000	1952250
3820	7810	955000	1952500
3818	7813	954500	1953250
3810	7811	952500	1952750
3816	7814	954000	1953500
3840	7846	960000	1961500
3817	7812	954250	1953000
3817	7813	954250	1953250
3801	7798	950250	1949500
3815	7813	953750	1953250
3815	7814	953750	1953500
